,BAD_1_1,BAD_14_2,BAD_18_1,BAD_3_1,BAD_8_1,FOUM_14_2,FOUM_17_2,FOUM_3_1,FOUM_7_2,FOUM_8_2,HS_16_2,HS_18_2,HS_3_1,HS_7_1,HS_FA_2_2,IR_10_2,IR_13_1,IR_17_1,IR_4_2,IR_7_1,NI_13_2,NI_16_2,NI_19_1,NI_3_1,NI_7_2,TE_1_10_1_2,TE_11_20_1_2,TE_21_30_1_1,TE_6_43_1,TE_FA_1_1
883b4447dbdbc420bfb6c20aa54911763cfa6bbd,0,96,0,0,0,0,264,0,31,78,65,80,240,0,0,0,0,223,0,0,38,347,222,48,175,208,162,291,103,254
0c3ff710e40b2f872e898f6da09cb0ecac85ef02,0,0,17,81,0,0,139,0,0,0,195,90,226,79,0,0,0,100,0,0,85,141,0,0,700,141,115,511,70,208
59c75378dd058730f6dd48fe04f0e753a3054941,171,891,0,408,745,0,0,109,126,133,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,56,61,0,0,83
5e05c734bfbc94a3831fc6fd022e2dec50f894bc,0,0,161,0,0,156,0,149,0,0,304,162,0,171,388,144,178,0,190,53,0,46,0,420,0,0,0,0,166,0
f6103b735979ce7fd38ab6964ce812face8b936e,0,0,58,0,0,79,0,87,102,415,0,118,0,182,472,170,159,71,229,330,0,0,81,79,0,0,0,0,0,0
db08309d089e7833688a1ef552b169443b140552,0,0,0,0,0,0,0,0,0,0,107,170,162,0,0,71,72,185,0,0,0,360,668,171,81,101,0,299,158,0
800ca9d7783057c6d4adcdf5da06d7acf7edd02c,0,0,0,0,0,0,187,0,0,107,129,81,125,151,0,0,0,0,0,0,226,194,146,83,335,100,98,283,161,158
976e20f01183e74d02955f107a0ce97efaa4f450,0,0,36,0,100,45,65,75,75,0,121,117,86,131,0,0,0,0,0,0,82,98,455,132,131,114,78,251,208,155
dfff86d1ff54e392261dc842b771d25a64e90939,0,226,347,240,304,0,0,0,0,0,241,216,203,0,0,0,0,0,0,0,0,181,0,0,0,158,165,89,146,0
5eeff1314eeec8b254acabf1bc21179cd0025c29,0,0,0,0,0,0,0,0,0,0,312,108,115,172,0,148,99,0,147,116,0,331,316,382,0,0,0,22,234,0
455419ca6a1fe84de772c814f229375e77beb3fc,0,0,11,0,0,83,0,0,23,0,115,88,47,163,352,232,261,99,374,187,91,85,66,121,23,0,0,0,76,0
5bc03c08e1907929de421b0a1b3779cee15cca9e,0,0,0,0,0,0,0,0,0,0,68,230,0,116,871,605,135,0,236,136,0,0,0,73,0,0,0,0,0,0
8b575c4c940ee6941f09c7958b23c99e6ee7a40e,0,0,0,0,0,51,168,105,65,152,192,0,156,139,0,0,92,0,84,67,0,280,202,204,75,85,0,151,186,0
694d7badc34d6c6cfaeff9ba89515c4e72487269,0,0,0,0,0,200,0,0,0,0,238,0,30,49,0,213,1264,114,0,121,0,132,0,0,0,0,0,0,89,0
1b95a1bd6e4ece257b0e3520c8a96a770f9fbd8c,73,195,0,273,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,181,1325,125,0,201
074af1f80fd3151a05801138942c479d92011d44,0,0,0,0,0,0,171,0,0,0,0,132,325,0,0,0,0,91,0,0,55,229,233,0,247,262,0,313,196,151
40353a1ab612faf377229437ba89029d2fdc6bfe,0,0,0,0,0,0,282,0,0,0,0,61,261,0,0,0,0,0,0,0,0,150,0,0,371,272,216,551,0,218
